"","X","CMP1","CMP2","CMP3","CMP4","CMP5","CMP6","CMP7","CMP8","CMP9","CMP12","CMP14","CMP18","CMP19","CMP20"
"1","CMP1",1,0.440614754098361,0.354822006472492,0.424697475309266,0.248847257467947,0.200451127819549,0.262437477670597,0.31836855954503,0.31836855954503,0.216018315018315,0.28320372435576,0.276907849656118,0.348030151936954,0.266581266581267
"2","CMP2",0.440614754098361,1,0.740831842576029,0.823116042533518,0.379070881226054,0.304679802955665,0.459661835748792,0.291125975473802,0.291125975473802,0.178212117548353,0.215988791174824,0.334434201093849,0.209155587803299,0.296166256494394
"3","CMP3",0.354822006472492,0.740831842576029,1,0.702987012987013,0.283751493428913,0.246913580246914,0.372592592592593,0.216497175141243,0.216497175141243,0.139040783777626,0.175706082167027,0.264414998849781,0.171615521408053,0.258590047393365
"4","CMP4",0.424697475309266,0.823116042533518,0.702987012987013,1,0.323419992997199,0.359259259259259,0.413817226317226,0.266331319451937,0.266331319451937,0.16776701351513,0.209198355601233,0.308300738809213,0.195116726264267,0.279027007475283
"5","CMP5",0.248847257467947,0.379070881226054,0.283751493428913,0.323419992997199,1,0.660383597883598,0.638963862648073,0.351855111580512,0.351855111580512,0.162373656202007,0.213267835015047,0.320619658119658,0.214075900785268,0.304225849423018
"6","CMP6",0.200451127819549,0.304679802955665,0.246913580246914,0.359259259259259,0.660383597883598,1,0.459918232158568,0.297618140243902,0.297618140243902,0.149548270963627,0.190208925503043,0.274127382553653,0.189218921892189,0.260448730068696
"7","CMP7",0.262437477670597,0.459661835748792,0.372592592592593,0.413817226317226,0.638963862648073,0.459918232158568,1,0.278239778239778,0.278239778239778,0.138975452408288,0.178801052256108,0.272544545849631,0.192996524993317,0.300794530672579
"8","CMP8",0.31836855954503,0.291125975473802,0.216497175141243,0.266331319451937,0.351855111580512,0.297618140243902,0.278239778239778,1,1,0.383881127886014,0.476353276353276,0.679965932914046,0.462328358281682,0.576803631151457
"9","CMP9",0.31836855954503,0.291125975473802,0.216497175141243,0.266331319451937,0.351855111580512,0.297618140243902,0.278239778239778,1,1,0.383881127886014,0.476353276353276,0.679965932914046,0.462328358281682,0.576803631151457
"10","CMP12",0.216018315018315,0.178212117548353,0.139040783777626,0.16776701351513,0.162373656202007,0.149548270963627,0.138975452408288,0.383881127886014,0.383881127886014,1,0.744880449652055,0.494072047423621,0.414855657163349,0.258978490606493
"11","CMP14",0.28320372435576,0.215988791174824,0.175706082167027,0.209198355601233,0.213267835015047,0.190208925503043,0.178801052256108,0.476353276353276,0.476353276353276,0.744880449652055,1,0.617217018324029,0.486839249357551,0.311296225489584
"12","CMP18",0.276907849656118,0.334434201093849,0.264414998849781,0.308300738809213,0.320619658119658,0.274127382553653,0.272544545849631,0.679965932914046,0.679965932914046,0.494072047423621,0.617217018324029,1,0.365874309483332,0.427538252538253
"13","CMP19",0.348030151936954,0.209155587803299,0.171615521408053,0.195116726264267,0.214075900785268,0.189218921892189,0.192996524993317,0.462328358281682,0.462328358281682,0.414855657163349,0.486839249357551,0.365874309483332,1,0.571254610385809
"14","CMP20",0.266581266581267,0.296166256494394,0.258590047393365,0.279027007475283,0.304225849423018,0.260448730068696,0.300794530672579,0.576803631151457,0.576803631151457,0.258978490606493,0.311296225489584,0.427538252538253,0.571254610385809,1
